date,startup,vertical,subvertical,city,investors,round,amount,year,month,month_year,amount_category,investor_count
2015-10-31,Jugnoo,Autorickshaw Aggregator & Booking platform,nan,Chandigarh,Paytm,Private Equity,82.5,2015,10,2015-10,50-100Cr,0
2015-01-09,TOFlo,FinTech Startup Incubation platform,nan,Mumbai,Tania Johny Palathinkal,Seed,0.825,2015,1,2015-01,<1Cr,0
2015-01-09,FXMartIndia,Payment Services platform,nan,Chandigarh,Flipkart,Private Equity,0.0,2015,1,2015-01,,0
2015-01-09,Stylecracker,Personalized Styling platform,nan,Mumbai,Group of HNI investors,Private Equity,8.25,2015,1,2015-01,1-10Cr,0
2015-01-09,Luxuryhues,Luxury goods\\xc2\\xa0 Shopping Platform,nan,Gurgaon,Reliance Capital,Private Equity,7.425,2015,1,2015-01,1-10Cr,0
2015-02-09,HolaChef,Food Delivery Platform,nan,Mumbai,Ratan Tata,Private Equity,0.0,2015,2,2015-02,,0
2015-02-09,Zivame,Online Lingerie Marketplace,nan,Bangalore,"Zodius Technology Fund, Khazanah Nasional Berhad",Private Equity,330.0,2015,2,2015-02,100-500Cr,2
2015-02-09,Capillary Tech,Cloud software solutions,nan,New Delhi,"Warburg Pincus, Sequoia Capital, Norwest Venture Partners",Private Equity,371.25,2015,2,2015-02,100-500Cr,3
2015-03-09,Jobspire,Job Search Platform,nan,Bangalore,Purvi Capital,Seed,2.145,2015,3,2015-03,1-10Cr,0
2015-03-09,MeraDoctor,Doctor consultancy Mobile App,nan,Mumbai,India Quotient & other investors,Seed,0.0,2015,3,2015-03,,0
2015-03-09,Vistaar Finance,Small Business Financing (NBFC),nan,Bangalore,"WestBridge Capital, Omidyar Network, Elevar Equity, Saama Capital,\\xc2\\xa0 Lok Capital",Private Equity,330.0,2015,3,2015-03,100-500Cr,5
2015-03-09,HiJinny,Beauty & Wellness Services Marketplace,nan,Mumbai,CMYK Health Boutique Pvt Ltd & Other individual investors,Seed,0.0,2015,3,2015-03,,0
2015-04-09,Clapsnslaps,Online Movie Review Platform,nan,Mumbai,R M Picture Company Pvt. Ltd.,Seed,1.2375,2015,4,2015-04,1-10Cr,0
2015-04-09,Blubox,ECommerce Brands\\xe2\\x80\\x99 Full Service Agency,nan,Mumbai,Ashish Jhalani,Seed,0.825,2015,4,2015-04,<1Cr,0
2015-04-09,RoomCentral,Cloud-based Hotel Booking Platform,nan,Bangalore,Karanpal Singh,Seed,16.5,2015,4,2015-04,10-50Cr,0
2015-07-09,YouthKiAwaaz,Community Driven News/Views Platform,nan,New Delhi,"Raghav Bahl, Ritu Kapur",Seed,4.95,2015,7,2015-07,1-10Cr,2
2015-07-09,Prozo,Study Material Marketplace,nan,New Delhi,"Nalin Jain, Shomil Pant, Dinesh Kundu & others",Seed,1.69125,2015,7,2015-07,1-10Cr,3
2015-07-09,Zomato,Restaurant Ratings & Reviews platform,nan,Gurgaon,"Temasek, Vy Capital",Private Equity,495.0,2015,7,2015-07,100-500Cr,2
2015-07-09,Sahayog Dairy,Dairy Based Product Manufacturer,nan,Bhopal,Acumen Fund,Private Equity,14.85,2015,7,2015-07,10-50Cr,0
2015-08-09,MockBank,Government Test Preparation platform,nan,Bangalore,Blume Ventures,Seed,3.3,2015,8,2015-08,1-10Cr,0
2015-08-09,ReportBee,Smart Report Cards for Schools,nan,Chennai,India Educational Investment Fund,Seed,0.0,2015,8,2015-08,,0
2015-08-09,GuruG Learning,Teacher empowerment platform,nan,Bangalore,India Educational Investment Fund,Seed,0.0,2015,8,2015-08,,0
2015-10-09,OnlineTyari,Multilingual Test Preparation Platform,nan,Gurgaon,"500 Startups, TV Mohandas Pai, Tandem Capital, Vikram Chachra, Aloke Bajpai",Private Equity,6.3525,2015,10,2015-10,1-10Cr,5
2015-10-09,IndustryBuying,Industrial Tools Marketplace,nan,New Delhi,"Kalaari Capital, SAIF Partners, Beenextan investment fund",Private Equity,75.9,2015,10,2015-10,50-100Cr,3
2015-10-09,The/Nudge Foundation,Non Profit Organization to alleviate poverty,nan,Bangalore,"Nanadan Nilekani, InMobi, Paytm",Seed,2.59875,2015,10,2015-10,1-10Cr,3
2015-11-09,FitMeIn,Gym & Fitness Studios Subscription platform,nan,New Delhi,Green House Ventures,Seed,0.825,2015,11,2015-11,<1Cr,0
2015-11-09,Envoged,pre-used luxury item Marketplace,nan,Mumbai,"Ankush Nijhawan, Manish Dhingra, Gaurav Bhatnagar",Seed,0.0,2015,11,2015-11,,3
2015-11-09,Renomania,Home Design & D\\xc3\\xa9cor platform,nan,New Delhi,Subodh Gupta,Seed,0.0,2015,11,2015-11,,0
2015-12-09,CredR,Used Vehicles Marketplace,nan,Mumbai,Eight Road Ventures,Private Equity,123.75,2015,12,2015-12,100-500Cr,0
2015-12-09,YatraGenie,Online Bus & Cab ticketing platform,nan,Hyderabad,Ash Bhardwaj,Private Equity,0.0,2015,12,2015-12,,0
2015-09-14,CanvasFlip,Mobile App testing platform,nan,Hyderabad,Bessemer Venture Partners,Seed,9.9,2015,9,2015-09,1-10Cr,0
2015-09-14,Shadowfax,Hyperlocal Delivery Services,nan,Gurgaon,Eight Roads Ventures,Private Equity,74.25,2015,9,2015-09,50-100Cr,0
2015-09-14,UE Life Sciences,Early Cancer Detection Solutions,nan,US/India,"Aarin Capital, Unitus Seed Fund",Private Equity,24.75,2015,9,2015-09,10-50Cr,2
2015-09-14,Ola Cabs,Cab rental Mobile app,nan,Bangalore,"Falcon Edge Capital, NY based Hedge Fund, Tiger Global, Softbank",Private Equity,1856.25,2015,9,2015-09,>500Cr,4
2015-09-15,Coverfox,Online Insurance Distribution Platform,nan,Mumbai,Cataraman Ventures,Private Equity,16.5,2015,9,2015-09,10-50Cr,0
2015-09-15,MoEngage,Mobile Marketing Automation Platform,nan,Bangalore,"Helion Venture Partners, Exfinity Ventures",Private Equity,35.0625,2015,9,2015-09,10-50Cr,2
2015-09-15,Mubble,Prepaid Mobile Bill Manager App,nan,Bangalore,Nandan Nilekani,Seed,0.0,2015,9,2015-09,,0
2015-09-15,Tea Trails,Chain of Tea Caf\\xc3\\xa9\\xe2\\x80\\x99s,nan,Mumbai,"Anil Matai, Vikram Tandon, Shyam Sundar R & others",Seed,8.25,2015,9,2015-09,1-10Cr,3
2015-09-15,Room on Call,Branded Budget Hotel Marketplace,nan,Noida,Payal Syal,Seed,2.475,2015,9,2015-09,1-10Cr,0
2015-09-15,FYNE,Home Fitting & Fixtures Marketplace,nan,Bangalore,Sandeep Dama & Others,Seed,0.0,2015,9,2015-09,,0
2015-09-16,ChaiPoint,Food Subscription platform,nan,Bangalore,Eight Roads Ventures,Private Equity,82.5,2015,9,2015-09,50-100Cr,0
2015-09-16,WedmeGood.com,Wedding Planning Platform,nan,Gurgaon,Indian Angel Network,Seed,3.3825,2015,9,2015-09,1-10Cr,0
2015-09-16,XSTOK,B2B Mobile Auction Marketplace,nan,Mumbai,Oliphans Capital,Seed,3.7125,2015,9,2015-09,1-10Cr,0
2015-09-17,UniLog,ECommerce Data Analytics Platform,nan,Bangalore,Kalaari Capital,Private Equity,0.0,2015,9,2015-09,,0
2015-09-17,Paintcollar,Designer Merchandize Marketplace,nan,Mumbai,Applyifi,Seed,0.0,2015,9,2015-09,,0
2015-09-17,YepMe,Private label Fashion eTailer,nan,Gurgaon,"Khazanah Nasional Berhad, Helion Venture Partners",Private Equity,618.75,2015,9,2015-09,>500Cr,2
2015-09-17,Bueno,Online Food ordering & delivery,nan,Gurgaon,High Networth Individuals (No details),Seed,4.95,2015,9,2015-09,1-10Cr,0
